TICKER,ISIN,SECTOR
HINDALCO,INE038A01020,Commodities
WSTCSTPAPR,INE976A01021,Commodities
HOCL,INE048A01011,Commodities
MPILCORPL,INE844C01027,Financial Services
PASUPTAC,INE818B01023,Commodities
KORE,INE601A01017,Fast Moving Consumer Goods
PGHH,INE179A01014,Fast Moving Consumer Goods
MUKANDLTD,INE304A01026,Commodities
BBOX,INE676A01027,Information Technology
UCAL,INE139B01016,Consumer Discretionary
HARRMALAYA,INE544A01019,Industrials
FEDERALBNK,INE171A01029,Financial Services
TATASTEEL,INE081A01020,Commodities
SKFINDIA,INE640A01023,Industrials
ASHOKLEY,INE208A01029,Industrials
CUMMINSIND,INE298A01020,Industrials
TATACOMM,INE151A01013,Telecommunication
ABBOTINDIA,INE358A01014,Healthcare
BAJAJHLDNG,INE118A01012,Financial Services
BHARATFORG,INE465A01025,Consumer Discretionary
ESCORTS,INE042A01014,Industrials
HINDMOTORS,INE253A01025,Consumer Discretionary
LT,INE018A01030,Industrials
M&M,INE101A01026,Consumer Discretionary
BOSCHLTD,INE323A01026,Consumer Discretionary
PREMIER,INE342A01018,Industrials
BPCL,INE029A01011,Energy
SIEMENS,INE003A01024,Industrials
TATAMOTORS,INE155A01022,Consumer Discretionary
VOLTAS,INE226A01021,Consumer Discretionary
GESHIP,INE017A01032,Services
DEEPAKFERT,INE501A01019,Commodities
EXCELINDUS,INE369A01029,Commodities
GRWRHITECH,INE291A01017,Industrials
GLAXO,INE159A01016,Healthcare
GNFC,INE113A01013,Commodities
NOVARTIND,INE234A01025,Healthcare
SANOFI,INE058A01010,Healthcare
PFIZER,INE182A01018,Healthcare
GSFC,INE026A01025,Commodities
HINDUNILVR,INE030A01027,Fast Moving Consumer Goods
AKZOINDIA,INE133A01011,Consumer Discretionary
NOCIL,INE163A01018,Commodities
TATACHEM,INE092A01019,Commodities
TNPETRO,INE148A01019,Commodities
ZUARIIND,INE217A01012,Fast Moving Consumer Goods
NESTLEIND,INE239A01024,Fast Moving Consumer Goods
TATACONSUM,INE192A01025,Fast Moving Consumer Goods
ASIANPAINT,INE021A01026,Consumer Discretionary
BRITANNIA,INE216A01030,Fast Moving Consumer Goods
COLPAL,INE259A01022,Fast Moving Consumer Goods
EIHOTEL,INE230A01023,Consumer Discretionary
INDHOTEL,INE053A01029,Consumer Discretionary
CASTROLIND,INE172A01027,Energy
ITC,INE154A01025,Fast Moving Consumer Goods
APOLLOTYRE,INE438A01022,Consumer Discretionary
CEATLTD,INE482A01020,Consumer Discretionary
MODIRUBBER,INE832A01018,Consumer Discretionary
FINPIPE,INE183A01024,Industrials
SUNRINV,INE371U01015,Financial Services
ZGOLDINV,INE598F01014,Services
PEOPLIN,INE644U01015,Services
DSINVEST,INE422D01012,Financial Services
CENTRUM,INE660C01027,Financial Services
TCIFINANCE,INE911B01018,Financial Services
KRATOSENER,INE567L01017,Services
ANTARIKSH,INE825M01017,Consumer Discretionary
IITL,INE886A01014,Financial Services
INDPRUD,INE620D01011,Financial Services
TATAINVEST,INE672A01018,Financial Services
JAYBHCR,INE998D01011,Financial Services
PRISMX,INE286N01028,Services
MOTOGENFIN,INE861B01023,Services
RAPIDIN,INE154M01012,Services
WALCHPF,INE695D01021,Services
ZSWASTSA,INE094R01019,Financial Services
WHBRADY,INE855A01019,Industrials
TECHNVISN,INE314H01012,Information Technology
SHAILY,INE151G01028,Industrials
BBTC,INE050A01025,Fast Moving Consumer Goods
BOMBCYC,INE691K01017,Services
GREAVESCOT,INE224A01026,Industrials
MULLER,INE003F01015,Services
SFTL,INE02ZA01012,Services
AMALGAM,INE492N01022,Services
ANANDPROJ,INE134R01013,Industrials
INDIANVSH,INE131H01028,Financial Services
COASTCORP,INE377E01016,Fast Moving Consumer Goods
CHOWGULSTM,INE490A01015,Services
GLOBOFFS,INE446C01013,Services
ASIIL,INE443A01030,Commodities
SAGCEM,INE229C01021,Commodities
HEMACEM,INE07BK01011,Commodities
DECCANCE,INE583C01021,Commodities
MANGLMCEM,INE347A01017,Commodities
NCLIND,INE732C01016,Commodities
SAURASHCEM,INE626A01014,Commodities
SHREDIGCEM,INE232A01011,Commodities
BORORENEW,INE666D01022,Industrials
LERTHAI,INE347D01011,Commodities
TRIVENIGQ,INE094C01011,Commodities
NILACHAL,INE416N01013,Industrials
ANDHRAPAP,INE435A01028,Commodities
BALKRISIND,INE787D01026,Consumer Discretionary
ORIENTPPR,INE592A01026,Commodities
CITADEL,INE906D01014,Consumer Discretionary
ROLLT,INE927A01040,Industrials
SESHAPAPER,INE630A01024,Commodities
NATHIND,INE777A01023,Commodities
VAPIENTER,INE464D01014,Commodities
DCM,INE498A01018,Information Technology
ZGAEKWAR,INE837X01027,Consumer Discretionary
FORBESCO,INE518A01013,Consumer Discretionary
HPCOTTON,INE950C01014,Consumer Discretionary
UNITEDINT,INE706D01018,Information Technology
JAMSHRI,INE462D01026,Consumer Discretionary
KATRSPG,INE498G01015,Consumer Discretionary
KESORAMIND,INE087A01019,Commodities
LAKSHMIMIL,INE938C01019,Consumer Discretionary
VTL,INE825A01020,Consumer Discretionary
PENINLAND,INE138A01028,Consumer Discretionary
PASUSPG,INE909B01020,Consumer Discretionary
PHOENIXLTD,INE211B01039,Consumer Discretionary
MARATHON,INE182D01020,Consumer Discretionary
RAJABAH,INE491N01016,Consumer Discretionary
RELCHEMQ,INE750D01016,Consumer Discretionary
RUBYMILLS,INE301D01026,Consumer Discretionary
SIMPLXREA,INE167H01014,Consumer Discretionary
